curriculum_system,curriculum_status,key_stage,level,module,strand_zh,strand_en,unit_code,unit_order,unit_name_zh,unit_name_en,curriculum_tier,grade_assignment_policy,source_doc_ids,implementation_note
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,數,Number,1N1,1,20以內的數,Numbers to 20,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,數,Number,1N2,2,基本加法和減法,Basic addition and subtraction,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,數,Number,1N3,3,100以內的數,Numbers to 100,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,數,Number,1N4,4,加法和減法（一）,Addition and subtraction (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,度量,Measures,1M1,5,長度和距離（一）,Length and distance (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,度量,Measures,1M2,6,貨幣（一）,Money (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,度量,Measures,1M3,7,長度和距離（二）,Length and distance (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,度量,Measures,1M4,8,時間（一）,Time (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,圖形與空間,Shape and Space,1S1,9,立體圖形（一）,3-D shapes (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,圖形與空間,Shape and Space,1S2,10,平面圖形,2-D shapes,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,圖形與空間,Shape and Space,1S3,11,方向和位置（一）,Directions and positions (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,增潤課題,Enrichment Topics,1E1,12,簡單數獨,Simple Sudoku game,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P1,Primary Mathematics,增潤課題,Enrichment Topics,1E2,13,分類方法,Sorting methods,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數,Number,2N1,1,三位數,3-digit numbers,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數,Number,2N2,2,加法和減法（二）,Addition and subtraction (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數,Number,2N3,3,基本乘法,Basic multiplication,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數,Number,2N4,4,四位數,4-digit numbers,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數,Number,2N5,5,加法和減法（三）,Addition and subtraction (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數,Number,2N6,6,基本除法,Basic division,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,度量,Measures,2M1,7,長度和距離（三）,Length and distance (III),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,度量,Measures,2M2,8,時間（二）,Time (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,度量,Measures,2M3,9,貨幣（二）,Money (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,圖形與空間,Shape and Space,2S1,10,立體圖形（二）,3-D shapes (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,圖形與空間,Shape and Space,2S2,11,角,Angles,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,圖形與空間,Shape and Space,2S3,12,方向和位置（二）,Directions and positions (II),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,圖形與空間,Shape and Space,2S4,13,四邊形（一）,Quadrilaterals (I),core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,數據處理,Data Handling,2D1,14,象形圖,Pictograms,core,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
Hong Kong Mathematics Curriculum,current,KS1,P2,Primary Mathematics,增潤課題,Enrichment Topics,2E1,15,記時及計時工具,Time-recording and timing devices,enrichment,official_grade; within-grade sequence flexible,EDB-PMC-2017-ZH;EDB-PMC-2017-EN,
