source_id,title,publisher,language,scope,edition_or_update,source_type,url,authority_tier,ingestion_priority,rights_status,attribution_required,recommended_use,notes
EDB-INDEX-ZH,教育局數學教育課程文件,香港特別行政區教育局,zh-Hant-HK,P1-S6,持續更新,web_index,https://www.edb.gov.hk/tc/curriculum-development/kla/ma/curr/index2.html,primary,1,official_publication_check_notice,yes,來源發現、版本監察,每次更新語料庫前先檢查此頁。
EDB-KLA-2017-ZH,數學教育學習領域課程指引（小一至中六）,香港特別行政區教育局,zh-Hant-HK,P1-S6,2017,curriculum_guide,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/ME_KLACG_chi_2017_12_08.pdf,primary,1,official_publication_check_notice,yes,總體課程架構與理念,擷取前檢查文件內版權告示。
EDB-KLA-2017-EN,Mathematics Education Key Learning Area Curriculum Guide (Primary 1 - Secondary 6),"Education Bureau, HKSAR",en-HK,P1-S6,2017,curriculum_guide,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/ME_KLACG_eng_2017_12_08.pdf,primary,1,official_publication_check_notice,yes,英文術語與總體課程架構,擷取前檢查文件內版權告示。
EDB-PMC-2017-ZH,數學教育學習領域課程指引補充文件：小學數學科學習內容,香港特別行政區教育局,zh-Hant-HK,P1-P6,2017,curriculum_content,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/pmc2017_tc.pdf,primary,1,official_publication_check_notice,yes,小學單元、學習重點、注釋,課程映射的主要中文依據。
EDB-PMC-2017-EN,Supplement to Mathematics Education Key Learning Area Curriculum Guide: Learning Content of Primary Mathematics,"Education Bureau, HKSAR",en-HK,P1-P6,2017,curriculum_content,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/pmc2017_e.pdf,primary,1,official_publication_check_notice,yes,小學英文官方術語,課程映射的主要英文依據。
EDB-P-KS1-2018-ZH,小學數學課程闡釋（第一學習階段）,香港特別行政區教育局,zh-Hant-HK,P1-P3,2018,explanatory_notes,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/EN_KS1_tc.pdf,primary,2,official_publication_check_notice,yes,概念闡釋與教學深度,適合作為概念型片段來源。
EDB-P-KS1-2018-EN,"Explanatory Notes to Primary Mathematics Curriculum, Key Stage 1","Education Bureau, HKSAR",en-HK,P1-P3,2018,explanatory_notes,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/EN_KS1_e.pdf,primary,2,official_publication_check_notice,yes,英文概念闡釋與術語,適合作為雙語術語來源。
EDB-P-KS2-2020-ZH,小學數學課程闡釋（第二學習階段）,香港特別行政區教育局,zh-Hant-HK,P4-P6,2020,explanatory_notes,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/EN_KS2_tc.pdf,primary,2,official_publication_check_notice,yes,概念闡釋與教學深度,適合作為概念型片段來源。
EDB-P-KS2-2020-EN,"Explanatory Notes to Primary Mathematics Curriculum, Key Stage 2","Education Bureau, HKSAR",en-HK,P4-P6,2020,explanatory_notes,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/EN_KS2_e.pdf,primary,2,official_publication_check_notice,yes,英文概念闡釋與術語,適合作為雙語術語來源。
EDB-JSMC-2017-ZH,數學教育學習領域課程指引補充文件：初中數學科學習內容,香港特別行政區教育局,zh-Hant-HK,S1-S3,2017,curriculum_content,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/jsmc2017_tc.pdf,primary,1,official_publication_check_notice,yes,初中單元、學習重點、注釋,官方按 KS3 編排，並非固定逐級次序。
EDB-JSMC-2017-EN,Supplement to Mathematics Education Key Learning Area Curriculum Guide: Learning Content of Junior Secondary Mathematics,"Education Bureau, HKSAR",en-HK,S1-S3,2017,curriculum_content,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/jsmc2017_e.pdf,primary,1,official_publication_check_notice,yes,初中英文官方術語,官方按 KS3 編排，並非固定逐級次序。
EDB-JS-NOTES-2020-ZH,初中數學課程闡釋,香港特別行政區教育局,zh-Hant-HK,S1-S3,2020,explanatory_notes,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/EN_KS3_tc.pdf,primary,2,official_publication_check_notice,yes,概念闡釋與銜接,適合作為概念型片段來源。
EDB-JS-NOTES-2020-EN,Explanatory Notes to Junior Secondary Mathematics Curriculum,"Education Bureau, HKSAR",en-HK,S1-S3,2020,explanatory_notes,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/EN_KS3_e.pdf,primary,2,official_publication_check_notice,yes,英文概念闡釋與術語,適合作為雙語術語來源。
EDB-SSMC-2017-ZH,數學教育學習領域課程指引補充文件：高中數學科學習內容,香港特別行政區教育局,zh-Hant-HK,"S4-S6, CP, M1, M2",2017；按官方修訂時間表實施,curriculum_content,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/ssmc2017_tc.pdf,primary,1,official_publication_check_notice,yes,高中學習重點、基礎／非基礎課題,必修修訂課程自 2023/24 中四起逐年推行；延伸部分自 2019/20 起。
EDB-SSMC-2017-EN,Supplement to Mathematics Education Key Learning Area Curriculum Guide: Learning Content of Senior Secondary Mathematics,"Education Bureau, HKSAR",en-HK,"S4-S6, CP, M1, M2",2017; subject to official implementation timeline,curriculum_content,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/ssmc2017_e.pdf,primary,1,official_publication_check_notice,yes,高中英文官方術語,必修修訂課程自 2023/24 中四起逐年推行；延伸部分自 2019/20 起。
EDB-SS-CAG-2017-ZH,數學課程及評估指引（中四至中六）,香港特別行政區教育局,zh-Hant-HK,"S4-S6, CP, M1, M2",2017-12 更新,curriculum_assessment_guide,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/CA_2017_tc.pdf,primary,1,official_publication_check_notice,yes,課程與評估基準,用於評估設計與課程對齊。
EDB-SS-CAG-2017-EN,Mathematics Curriculum and Assessment Guide (Secondary 4 - 6),"Education Bureau, HKSAR",en-HK,"S4-S6, CP, M1, M2",Updated 2017-12,curriculum_assessment_guide,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/CA_2017_e.pdf,primary,1,official_publication_check_notice,yes,英文課程與評估基準,用於雙語評估術語。
EDB-SS-CP-2021-ZH,高中數學課程闡釋：必修部分,香港特別行政區教育局,zh-Hant-HK,S4-S6 Compulsory Part,2021-12 更新,explanatory_notes,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/EN_CP_tc_1.pdf,primary,1,nonprofit_education_research_with_attribution,yes,必修概念、例子及教學深度,文件列明可作非牟利教育及研究用途，但須列明出處。
EDB-SS-CP-2021-EN,Explanatory Notes to Senior Secondary Mathematics Curriculum: The Compulsory Part,"Education Bureau, HKSAR",en-HK,S4-S6 Compulsory Part,Updated 2021-12,explanatory_notes,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/EN_CP_e.pdf,primary,1,nonprofit_education_research_with_attribution,yes,必修英文術語與概念,文件列明可作非牟利教育及研究用途，但須列明出處。
EDB-SS-M1-2018-ZH,高中數學課程闡釋：單元一（微積分與統計）,香港特別行政區教育局,zh-Hant-HK,S4-S6 M1,2018-08 更新,explanatory_notes,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/EN_M1_tc.pdf,primary,1,official_publication_check_notice,yes,M1 概念、例子及教學深度,擷取前檢查文件內版權告示。
EDB-SS-M1-2018-EN,Explanatory Notes to Senior Secondary Mathematics Curriculum: Module 1 (Calculus and Statistics),"Education Bureau, HKSAR",en-HK,S4-S6 M1,Updated 2018-08,explanatory_notes,https://www.edb.gov.hk/attachment/en/curriculum-development/kla/ma/curr/EN_M1_e.pdf,primary,1,official_publication_check_notice,yes,M1 英文術語與概念,擷取前檢查文件內版權告示。
EDB-SS-M2-2018-ZH,高中數學課程闡釋：單元二（代數與微積分）,香港特別行政區教育局,zh-Hant-HK,S4-S6 M2,2018-08 更新,explanatory_notes,https://www.edb.gov.hk/attachment/tc/curriculum-development/kla/ma/curr/EN_M2_tc.pdf,primary,1,official_publication_check_notice,yes,M2 概念、例子及教學深度,擷取前檢查文件內版權告示。
